player,Linkname,Link,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,Snaps,IsTransfer,X2023School,DraftYear
Marquis Crosby,Marquis-Crosby,https://premium.pff.com/api/v1/players?league=ncaa&id=145241,145241,HB,LA TECH,12,183,41,13,43,391,0,909,0,2,41,594,72.7,23,50,208,2,76,83.7,78.5,85.7,,60.3,49.1,83.6,64.2,68,0,65,9,240,214,0,0,11,192,9,909,594,3.25,5,0.27,106,528,0,Louisiana Tech,2025
Devin Neal,Devin-Neal,https://premium.pff.com/api/v1/players?league=ncaa&id=144558,144558,HB,KANSAS,13,179,38,16,48,525,0,1093,2,10,38,515,69.1,31,47,198,2,112,74.3,78.5,88.2,,44.1,61.8,83.4,51.9,80,0,183,21,209,259,0,0,29,200,9,1093,515,2.88,6.1,0.88,66,539,0,Kansas,2025
Tank Bigsby,Tank-Bigsby,https://premium.pff.com/api/v1/players?league=ncaa&id=123974,123974,HB,AUBURN,12,178,60,16,50.1,489,1,976,3,9,60,740,137.9,27,46,115,1,60,83.6,82.5,2.6,,58.9,54.5,90.4,54.5,50,3,180,30,213,245,0,0,42,208,10,976,740,4.16,5.5,0.85,112,498,0,Auburn,2023
Chris Rodriguez Jr.,Chris-Rodriguez-Jr.,https://premium.pff.com/api/v1/players?league=ncaa&id=83689,83689,HB,KENTUCKY,8,175,63,13,35.4,320,0,904,1,4,63,672,142.9,26,45,202,1,88,90.6,90.8,85.1,,59.9,53,90.7,67,72,0,41,5,84,190,0,0,7,180,6,904,672,3.84,5.2,0.49,79,306,0,Kentucky,2023
Lew Nichols III,Lew-Nichols-III,https://premium.pff.com/api/v1/players?league=ncaa&id=97187,97187,HB,C MICHIGAN,9,175,23,6,18.2,112,0,616,5,3,23,418,31.7,15,36,134,2,75,74.1,62.2,87.1,,40.2,40.3,69.2,51.8,31,0,128,21,200,232,0,0,31,196,6,616,418,2.39,3.5,0.64,96,533,0,Central Michigan,2023
Brian Battie,Brian-Battie,https://premium.pff.com/api/v1/players?league=ncaa&id=123274,123274,HB,USF,12,174,52,20,45.8,550,0,1201,1,4,52,597,102.2,36,44,327,3,71,76.2,87.4,86.2,,53.3,51.3,91.6,54.6,68,0,101,14,159,232,0,0,18,188,8,1201,597,3.43,6.9,0.64,97,431,2,Auburn,2025
Avery Morrow,Avery-Morrow,https://premium.pff.com/api/v1/players?league=ncaa&id=128240,128240,HB,COLO STATE,12,173,54,9,31.5,263,0,834,2,7,54,630,116.3,23,36,144,2,76,73.9,74,50.8,,61.1,54.7,77.4,54.9,67,1,62,18,176,187,0,0,22,191,4,834,630,3.64,4.8,0.35,95,472,0,Colorado State,2024
Lincoln Pare,Lincoln-Pare,https://premium.pff.com/api/v1/players?league=ncaa&id=121537,121537,HB,TEXAS ST,12,172,41,6,25.5,192,0,752,1,9,41,505,73,17,49,314,2,72,74.1,74.6,85,,18.1,67.9,78,47.9,64,0,237,29,208,179,0,0,31,201,5,752,505,2.94,4.4,1.14,96,433,0,Texas State,2025
Tucker Gregg,Tucker-Gregg,https://premium.pff.com/api/v1/players?league=ncaa&id=83669,83669,HB,GA STATE,12,171,27,5,22.4,159,0,709,1,1,27,422,39,12,47,175,0,19,90.6,71.7,83.7,,52.4,55.2,74.3,45.7,56,0,67,6,124,232,0,0,7,177,12,709,422,2.47,4.1,0.54,152,403,0,Georgia State,2023
Jaydn Ott,Jaydn-Ott,https://premium.pff.com/api/v1/players?league=ncaa&id=158325,158325,HB,CAL,12,170,49,13,41,365,0,890,2,15,49,561,97.8,28,42,130,1,94,83.4,85,87.4,,58.4,70.9,90.1,69.4,73,0,321,46,309,185,0,0,54,216,8,890,561,3.3,5.2,1.04,74,561,0,California,2026
Justice Ellison,Justice-Ellison,https://premium.pff.com/api/v1/players?league=ncaa&id=123383,123383,HB,WAKE,13,170,38,7,24,168,0,699,1,2,38,518,69.3,15,45,339,1,111,82.4,77.1,85.7,,58.7,58.4,78.5,56.9,45,0,62,6,112,205,0,0,7,176,6,699,518,3.05,4.1,0.55,59,493,0,Wake Forest,2025
