"","week","home_team","home_conference","away_team","away_conference","TAN_Proj_Spread","home_points","away_points","Home_TAN23","Home_SP","HFACW","Away_TAN","Away_SP","TANSpread","TANFAV"
"193",1,"Franklin","Heartland","Olivet College","Michigan","NA NA",32,35,NA,NA,NA,NA,NA,NA,NA
"194",1,"Centre","Southern Athletic","Hanover","Heartland","NA NA",7,10,NA,NA,NA,NA,NA,NA,NA
"195",1,"John Carroll","Ohio","UW-Whitewater","Wisconsin","NA NA",23,27,NA,NA,NA,NA,NA,NA,NA
"196",1,"Elmhurst","CCIW","Adrian","Michigan","NA NA",14,3,NA,NA,NA,NA,NA,NA,NA
"197",1,"Aurora","NACC","Hope","Michigan","NA NA",38,17,NA,NA,NA,NA,NA,NA,NA
"198",1,"Augsburg","Minnesota","Northwestern (MN)","Upper Midwest","NA NA",52,10,NA,NA,NA,NA,NA,NA,NA
"199",1,"UW-River Falls","Wisconsin","Mary Hardin-Baylor","American Southwest","NA NA",45,22,NA,NA,NA,NA,NA,NA,NA
"200",1,"Roosevelt",NA,"North Central","CCIW","NA NA",7,41,NA,NA,NA,NA,NA,NA,NA
"201",1,"Austin College","American Southwest","Nebraska Wesleyan University","American Rivers","NA NA",7,19,NA,NA,NA,NA,NA,NA,NA
"202",1,"Hendrix College","Southern Athletic","Washington (MO)","CCIW","NA NA",27,44,NA,NA,NA,NA,NA,NA,NA
"203",1,"Cornell College (IA)","Midwest","Coe","American Rivers","NA NA",6,56,NA,NA,NA,NA,NA,NA,NA
"204",1,"Carthage","CCIW","Albion","Michigan","NA NA",20,41,NA,NA,NA,NA,NA,NA,NA
"205",1,"St. Ambrose",NA,"UW-Stout","Wisconsin","NA NA",7,35,NA,NA,NA,NA,NA,NA,NA
"206",1,"St. Olaf College","Minnesota","Central","American Rivers","NA NA",24,34,NA,NA,NA,NA,NA,NA,NA
"207",1,"Augustana (SD)","Northern Sun","University of Mary","Northern Sun","NA NA",38,7,NA,NA,NA,NA,NA,NA,NA
"208",1,"Gustavus Adolphus","Minnesota","Buena Vista","American Rivers","NA NA",51,7,NA,NA,NA,NA,NA,NA,NA
"209",1,"Dubuque","American Rivers","Wittenberg","North Coast","NA NA",27,28,NA,NA,NA,NA,NA,NA,NA
