"","game_id","season","week","home_team","away_team","home_points","away_points","matchup","formatted_spread","over_under"
"646",401455576,2022,3,"Bentley","Post University",49,6,"Post University @ Bentley",NA,NA
"647",401444113,2022,3,"Southern Connecticut State","Pace",7,27,"Pace @ Southern Connecticut State",NA,NA
"648",401445129,2022,3,"St Lawrence","Morrisville State",15,17,"Morrisville State @ St Lawrence",NA,NA
"649",401435074,2022,3,"Harvard","Merrimack",28,21,"Merrimack @ Harvard","Harvard -28.5","50.5"
"650",401441953,2022,3,"Westfield State","Western Connecticut State",20,34,"Western Connecticut State @ Westfield State",NA,NA
"651",401411109,2022,3,"Louisville","Florida State",31,35,"Florida State @ Louisville","Florida State -3.0","57.0"
"652",401415217,2022,3,"Wyoming","Air Force",17,14,"Air Force @ Wyoming","Air Force -17.0","47.0"
"653",401411114,2022,3,"Virginia Tech","Wofford",27,7,"Wofford @ Virginia Tech","Virginia Tech -40","45.5"
"654",401433031,2022,3,"Millersville","Slippery Rock",14,45,"Slippery Rock @ Millersville",NA,NA
"655",401403884,2022,3,"Kentucky","Youngstown State",31,0,"Youngstown State @ Kentucky","Kentucky -29","49.5"
"656",401426563,2022,3,"Indiana","Western Kentucky",33,30,"Western Kentucky @ Indiana","Indiana -7.0","61.5"
"657",401435093,2022,3,"Rochester","Brockport State (NY)",3,23,"Brockport State (NY) @ Rochester",NA,NA
"658",401438634,2022,3,"FDU-Florham","Lebanon Valley",14,17,"Lebanon Valley @ FDU-Florham",NA,NA
"659",401438651,2022,3,"Fitchburg State","Worcester State College",10,56,"Worcester State College @ Fitchburg State",NA,NA
"660",401438682,2022,3,"Hilbert College","Willamette",20,31,"Willamette @ Hilbert College",NA,NA
"661",401404070,2022,3,"Nebraska","Oklahoma",14,49,"Oklahoma @ Nebraska","Oklahoma -10.5","65.5"
"662",401445213,2022,3,"Bowdoin","Hamilton",41,13,"Hamilton @ Bowdoin",NA,NA
"663",401444591,2022,3,"Plymouth State","Bridgewater State",41,34,"Bridgewater State @ Plymouth State",NA,NA
"664",401450193,2022,3,"Salisbury","Ave Maria",42,14,"Ave Maria @ Salisbury",NA,NA
"665",401444120,2022,3,"Wilkes","Widener",44,20,"Widener @ Wilkes",NA,NA
"666",401431145,2022,3,"Rose-Hulman","Albion",17,49,"Albion @ Rose-Hulman",NA,NA
"667",401404071,2022,3,"Baylor","Texas State",42,7,"Texas State @ Baylor","Baylor -30.0","53.0"
"668",401404136,2022,3,"Army","Villanova",49,10,"Villanova @ Army","Army -13.5","56"
"669",401404149,2022,3,"Michigan","Connecticut",59,0,"Connecticut @ Michigan","Michigan -47.5","58.5"
"670",401438608,2022,3,"Nichols","Coast Guard",37,33,"Coast Guard @ Nichols",NA,NA
"671",401422998,2022,3,"Lehigh","Richmond",6,30,"Richmond @ Lehigh","Richmond -17","46.5"
"672",401405083,2022,3,"Northwestern","Southern Illinois",24,31,"Southern Illinois @ Northwestern","Northwestern -14.0","58.0"
"673",401450198,2022,3,"Endicott College","College of New Jersey",28,7,"College of New Jersey @ Endicott College",NA,NA
"674",401443111,2022,3,"Ursinus","Muhlenberg",35,28,"Muhlenberg @ Ursinus",NA,NA
"675",401415623,2022,3,"Miami (OH)","Cincinnati",17,38,"Cincinnati @ Miami (OH)","Cincinnati -24.0","51.0"
"676",401416603,2022,3,"Kent State","Long Island University",63,10,"Long Island University @ Kent State","Kent State -40.0","65.0"
"677",401431519,2022,3,"Walsh","Quincy",13,28,"Quincy @ Walsh",NA,NA
"678",401432881,2022,3,"NC Wesleyan","Bridgewater (VA)",7,48,"Bridgewater (VA) @ NC Wesleyan",NA,NA
"679",401403888,2022,3,"South Carolina","Georgia",7,48,"Georgia @ South Carolina","Georgia -25.5","56.0"
"680",401403887,2022,3,"Missouri","Abilene Christian",34,17,"Abilene Christian @ Missouri","Missouri -31.5","56.5"
