season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2022,Laiatu,Latu,EDGE,Washington,UCLA,2021-11-29T15:54:00.000Z,0.87,3,Immediate
2022,Cornelius,McCoy,WR,Georgia State,,2022-01-05T18:57:00.000Z,,3,Immediate
2022,Chase,Lasater,EDGE,Florida Atlantic,Eastern Kentucky,2021-11-30T12:37:00.000Z,0.83,3,Immediate
2022,Ashaad,Clayton,RB,Colorado,Tulane,2021-11-15T12:35:00.000Z,0.85,3,Immediate
2022,Cameron,Hairston,WR,Connecticut,,2021-11-30T12:30:00.000Z,,2,Immediate
2022,Tashawn,Manning,DL,Auburn,Kentucky,2021-12-13T11:57:00.000Z,0.88,3,Immediate
2022,Deuce,Hogan,QB,Iowa,Kentucky,2022-01-06T11:37:00.000Z,0.83,3,Immediate
2022,Mark,Pope,WR,Miami,Jackson State,2021-11-09T14:15:00.000Z,0.84,3,Immediate
2022,Trimarcus,Cheeks,ATH,Samford,Houston,2021-12-13T17:38:00.000Z,,,Immediate
2022,Justin,Hayes,SDE,Samford,,2021-12-13T17:35:00.000Z,,2,Immediate
2022,Zahodri,Jackson,CB,Utah State,North Texas,2021-12-13T16:59:00.000Z,,2,Immediate
2022,Jacob,Lewis,K,Ball State,,2022-01-03T14:10:00.000Z,,,Immediate
2022,Darnell,Jefferies,DL,Clemson,Minnesota,2022-01-03T14:08:00.000Z,0.83,3,Immediate
2022,Enock,Makonzo,S,Coastal Carolina,,2022-01-03T14:06:00.000Z,0.89,3,Immediate
2022,Austin,Henderson,TE,Minnesota,Liberty,2021-11-30T11:37:00.000Z,0.81,3,Immediate
2022,Shanon,Reid,LB,Illinois State,SMU,2021-12-22T15:23:00.000Z,,3,Immediate
2022,Mark,Perry,S,Colorado,TCU,2021-12-28T12:29:00.000Z,0.87,3,Immediate
2022,Waisale,Muavesi,DL,UNLV,UNLV,2021-12-28T11:43:00.000Z,,3,Immediate
2022,Jack,Powers,EDGE,Nevada,East Carolina,2021-12-29T07:17:00.000Z,,,Immediate
2022,Ray,Curry Jr.,OT,Arkansas,,2021-12-21T11:51:00.000Z,,3,Immediate
2022,Izaiah,Reed,DL,Murray State,New Mexico State,2021-12-14T12:27:00.000Z,0.87,3,Immediate
2022,Canaan,Yarro,OC,Southern Utah,New Mexico State,2021-12-14T12:27:00.000Z,0.85,3,Immediate
2022,Jakolby,Longino,QB,UTEP,Lamar,2021-12-07T14:54:00.000Z,,3,Immediate
2022,Brian,Buschini,P,Montana,Nebraska,2021-12-13T12:27:00.000Z,0.78,2,Immediate
2022,Timmy,Bleekrode,K,Furman,Nebraska,2021-12-03T13:22:00.000Z,0.76,2,Immediate
2022,Myles,Brooks,CB,Stephen F. Austin,Louisiana Tech,2022-01-06T20:42:00.000Z,,3,Immediate
2022,Jayden,de Laura,QB,Washington State,Arizona,2022-01-10T20:35:00.000Z,0.88,3,Immediate
2022,Deondre,Jackson,RB,Texas A&M,Nebraska,2022-01-07T10:47:00.000Z,0.85,3,Immediate
2022,Jalen,Williams,DL,Arkansas,Southern Mississippi,2022-01-07T10:34:00.000Z,0.84,3,Immediate
2022,A.J.,Campbell,EDGE,UCLA,Kent State,2021-11-29T12:28:00.000Z,0.83,3,Immediate
2022,Hayes,Gibson,QB,Iowa State,,2022-01-03T13:41:00.000Z,,,Immediate
2022,Brock,Sturges,RB,Texas State,,2021-11-22T08:55:00.000Z,0.8,3,Immediate
2022,Tim,Terry,LB,Buffalo,Akron,2021-11-22T00:00:00.000Z,0.8,3,TBD
2022,Zach,Wilson,WR,USC,,2021-11-29T15:36:00.000Z,0.78,2,Immediate
2022,Joseph,Bissinger,OT,Virginia,SMU,2021-12-03T14:53:00.000Z,0.88,3,Immediate
2022,Cam,Reddy,IOL,Colorado State,,2021-12-15T12:47:00.000Z,,,Immediate
2022,Tim,Horn,K,Washington,Rice,2021-10-07T15:23:00.000Z,0.82,3,Immediate
2022,Lawrence,Keys III,WR,Notre Dame,Tulane,2021-10-07T14:36:00.000Z,0.81,3,Immediate
2022,Brian,Edwards,CB,Central Michigan,,2021-08-27T09:05:00.000Z,,3,Immediate
2022,EJ,Ane,EDGE,San José State,,2021-12-12T11:45:00.000Z,,3,Immediate
2022,Fred,Jackson,RB,Coastal Carolina,,2021-12-20T08:52:00.000Z,,3,Immediate
2022,Jadon,Jackson,WR,Ole Miss,,2022-01-04T10:27:00.000Z,0.85,3,Immediate
2022,Devin,Bush,CB,Arkansas,,2022-01-04T10:11:00.000Z,,4,Immediate
2022,Aaron,Odom,EDGE,Mississippi State,Southern Mississippi,2022-01-04T09:29:00.000Z,0.84,3,Immediate
2022,Teon,Dollard,RB,Akron,,2021-11-10T08:44:00.000Z,,3,Immediate
2022,Latarie,Kinsler,EDGE,Syracuse,Florida Intl,2021-11-09T11:54:00.000Z,0.8,3,Immediate
2022,Kamron,Forest,CB,Fresno State,,2021-10-19T19:47:00.000Z,0.79,2,Immediate
2022,Koy,Moore,WR,LSU,,2021-10-19T15:19:00.000Z,0.83,3,Immediate
2022,Joshua,Sauickie,IOL,Air Force,,2021-09-20T11:53:00.000Z,,,Immediate
2022,Spencer,Rattler,QB,Oklahoma,South Carolina,2021-11-29T12:39:00.000Z,0.91,4,Immediate
2022,Montrell,Johnson,RB,Louisiana,Florida,2022-01-05T14:13:00.000Z,0.9,4,Immediate
2022,Patrick,Fields,S,Oklahoma,Stanford,2021-12-30T12:46:00.000Z,,3,Immediate
2022,Carlos,Carriere,WR,Maryland,Central Michigan,2021-12-31T09:53:00.000Z,0.84,3,Immediate
2022,Kelvin,Johnson,ILB,South Alabama,,2021-10-18T21:32:00.000Z,,3,Immediate
2022,Antwan,Roberts,RB,Wisconsin,,2021-09-19T12:19:00.000Z,,3,Immediate
2022,Jadon,Haselwood,WR,Oklahoma,Arkansas,2021-12-01T04:58:00.000Z,0.92,4,Immediate
2022,Jaylen,Martin,CB,California,,2022-01-03T12:04:00.000Z,,3,Immediate
2022,Charlie,Browder,TE,UCF,Tennessee,2021-12-29T11:22:00.000Z,0.84,3,Immediate
2022,Derrick,Alston,RB,East Carolina,,2021-12-29T11:02:00.000Z,,,Immediate
2022,Daniel,Grzesiak,EDGE,Nevada,,2021-12-29T08:31:00.000Z,,,Immediate
2022,Tanner,McCalister,CB,Oklahoma State,Ohio State,2021-12-22T17:35:00.000Z,0.9,4,Immediate
2022,Jaren,Banks,LB,Rice,,2021-12-01T08:38:00.000Z,,2,Immediate
2022,Naijee,Jones,S,Rutgers,,2021-12-01T08:34:00.000Z,,3,Immediate
2022,Knox,Kadum,QB,Virginia Tech,McNeese,2021-12-01T08:21:00.000Z,0.83,3,Immediate
2022,Al'vonte,Woodard,WR,Texas,,2021-11-30T17:19:00.000Z,,4,Immediate
2022,Miles,Adams,EDGE,Rice,,2021-11-30T17:07:00.000Z,0.75,2,Immediate
2022,Isaiah,Epps,WR,Kentucky,,2021-12-28T11:21:00.000Z,,3,Immediate
2022,Darius,Muasau,LB,Hawai'i,UCLA,2021-12-28T11:04:00.000Z,0.89,3,Immediate
2022,Tyson,Watson,DL,Michigan State,UMass,2021-12-24T07:39:00.000Z,,3,Immediate
2022,Chris,Everhart,IOL,Marshall,East Tennessee State,2021-12-23T06:24:00.000Z,0.8,3,Immediate
2022,Greedy,Vance,CB,Louisville,Florida State,2021-12-22T08:45:00.000Z,0.82,3,Immediate
2022,Cole,DeMarzo,LB,Michigan State,Wyoming,2021-12-20T14:39:00.000Z,,3,Immediate
2022,Gregory,Clayton,WR,UT San Antonio,,2021-12-27T18:09:00.000Z,,3,Immediate
2022,Donavon,Johnson,TE,Coastal Carolina,,2021-12-27T15:46:00.000Z,,3,Immediate
2022,Xazavian,Valladay,RB,Wyoming,Arizona State,2021-12-27T15:42:00.000Z,0.88,3,Immediate
2022,D.J.,Taylor,LB,Wake Forest,,2021-12-27T15:35:00.000Z,,3,Immediate
2022,Nolan,Johnson,CB,East Carolina,Miami (OH),2021-12-27T15:25:00.000Z,,3,Immediate
2022,Slade,Roy,LS,East Carolina,LSU,2021-12-27T15:22:00.000Z,0.75,2,Immediate
2022,Dontay,Hunter II,DL,Purdue,Ohio,2021-12-27T14:39:00.000Z,,3,Immediate
2022,Malik,Hausman,CB,Arizona,,2021-12-15T17:02:00.000Z,0.8,3,Immediate
2022,Zephaniah,Maea,LB,Colorado,,2021-11-30T08:07:00.000Z,0.84,3,Immediate
2022,Spencer,Gilbert,LB,USC,,2021-11-29T13:24:00.000Z,0.79,2,Immediate
2022,Zack,Annexstad,QB,Minnesota,Illinois State,2021-11-29T13:20:00.000Z,0.81,3,Immediate
2022,Michael,Graham,S,Hawai'i,,2021-12-30T12:39:00.000Z,,,Immediate
2022,Peny,Boone,RB,Maryland,Toledo,2021-11-28T09:39:00.000Z,0.81,3,Immediate
2022,Kaedin,Robinson,WR,UCF,Appalachian State,2021-11-28T08:50:00.000Z,0.81,3,Immediate
2022,Jeremy,Moussa,QB,Vanderbilt,Florida A&M,2021-11-09T10:15:00.000Z,0.8,3,Immediate
2022,Zacchaeus,McKinney,DL,Hawai'i,,2021-12-29T17:33:00.000Z,,3,Immediate
2022,Trey,Morrison,CB,North Carolina,Oklahoma,2021-12-31T17:34:00.000Z,,3,Immediate
2022,Baylor,Romney,QB,BYU,,2021-12-31T17:22:00.000Z,,3,Immediate
